IPMI,cpu
172.18.214.20, E5-2650 v2 @ 2.60GHz * 2
172.18.214.21, E5-2650 v2 @ 2.60GHz * 2
172.18.214.22, E5-2650 v2 @ 2.60GHz * 2
172.18.214.23, E5-2650 v2 @ 2.60GHz * 2
172.18.214.24, E5-2650 v2 @ 2.60GHz * 2
172.18.214.25, E5-2650 v2 @ 2.60GHz * 2
172.18.214.26, E5-2650 v2 @ 2.60GHz * 2
172.18.214.27, E5-2650 v2 @ 2.60GHz * 2
172.18.214.28, E5-2650 v2 @ 2.60GHz * 2
172.18.214.29, E5-2650 v2 @ 2.60GHz * 2
172.18.214.30, E5-2650 v2 @ 2.60GHz * 2
172.18.214.31, E5-2650 v2 @ 2.60GHz * 2
172.18.214.32, E5-2650 v2 @ 2.60GHz * 2
172.18.214.33, E5-2650 v2 @ 2.60GHz * 2
172.18.214.34, E5-2650 v2 @ 2.60GHz * 2
172.18.214.35, E5-2650 v2 @ 2.60GHz * 2
172.18.214.36, E5-2650 v2 @ 2.60GHz * 2
172.18.214.37, E5-2650 v2 @ 2.60GHz * 2
172.18.214.38, E5-2650 v2 @ 2.60GHz * 2
172.18.214.39, E5-2650 v2 @ 2.60GHz * 2
172.18.214.40, E5-2650 v2 @ 2.60GHz * 2
172.18.214.41, E5-2650 v2 @ 2.60GHz * 2
172.18.214.42, E5-2650 v2 @ 2.60GHz * 2
172.18.214.43, E5-2650 v2 @ 2.60GHz * 2
172.18.214.44, E5-2650 v2 @ 2.60GHz * 2
172.18.214.45, E5-2650 v2 @ 2.60GHz * 2
172.18.214.46, E5-2650 v2 @ 2.60GHz * 2
172.18.214.47, E5-2650 v2 @ 2.60GHz * 2
172.18.214.48, E5-2650 v2 @ 2.60GHz * 2
172.18.214.49, E5-2650 v2 @ 2.60GHz * 2
192.168.34.212, E5-2650 v2 @ 2.60GHz * 2
192.168.34.213, E5-2650 v2 @ 2.60GHz * 2
