IPMI,eth0,eth1,eth2,eth4,eth2-ok,eth5,eth6,eth7
172.18.214.33,E8:61:1F:16:E8:1E,E8:61:1F:16:E8:1F,E8:61:1F:16:E8:20,E8:61:1F:16:E8:21,00:E0:ED:37:ED:D4,00:E0:ED:37:ED:D5,E8:61:1F:16:D0:BA,E8:61:1F:16:D0:BB
172.18.214.34,E8:61:1F:16:E8:DA,E8:61:1F:16:E8:DB,E8:61:1F:16:E8:DC,E8:61:1F:16:E8:DD,00:E0:ED:76:10:4E,00:E0:ED:76:10:4F,E8:61:1F:17:A3:BA,E8:61:1F:17:A3:BB
172,18.214.35,E8:61:1F:16:E8:5E,E8:61:1F:16:E8:5F,E8:61:1F:16:E8:60,E8:61:1F:16:E8:61,00:E0:ED:76:10:5C,00:E0:ED:76:10:5D,E8:61:1F:16:CC:BA,E8:61:1F:16:CC:BB
172.18.214.36,E8:61:1F:16:E7:BE,E8:61:1F:16:E7:BF,E8:61:1F:16:E7:C0,E8:61:1F:16:E7:C1,00:E0:ED:37:ED:DE,00:E0:ED:37:ED:DF,E8:61:1F:17:A5:86,E8:61:1F:17:A5:87
172.18.214.37,E8:61:1F:16:E8:22,E8:61:1F:16:E8:23,E8:61:1F:16:E8:24,E8:61:1F:16:E8:25,00:E0:ED:6F:1F:68,00:E0:ED:6F:1F:69,E8:61:1F:17:A5:A8,E8:61:1F:17:A5:A9
172.18.214.38,E8:61:1F:16:E8:2E,E8:61:1F:16:E8:2F,E8:61:1F:16:E8:30,E8:61:1F:16:E8:31,00:E0:ED:6F:1F:62,00:E0:ED:6F:1F:63,E8:61:1F:16:D1:4A,E8:61:1F:16:D1:4B
172.18.214.39,E8:61:1F:16:E6:F2,E8:61:1F:16:E6:F3,E8:61:1F:16:E6:F4,E8:61:1F:16:E6:F5,00:E0:ED:76:10:54,00:E0:ED:76:10:55,E8:61:1F:17:A5:B0,E8:61:1F:17:A5:B1
172.18.214.40,E8:61:1F:16:E8:C6,E8:61:1F:16:E8:C7,E8:61:1F:16:E8:C8,E8:61:1F:16:E8:C9,00:E0:ED:6F:1F:6C,00:E0:ED:6F:1F:6D,E8:61:1F:17:A4:A6,E8:61:1F:17:A4:A7
172.18.214.41,E8:61:1F:16:E8:5A,E8:61:1F:16:E8:5B,E8:61:1F:16:E8:5C,E8:61:1F:16:E8:5D,00:E0:ED:76:10:72,00:E0:ED:76:10:73,E8:61:1F:16:D0:C2,E8:61:1F:16:D0:C3
172.18.214.42,E8:61:1F:16:E7:B6,E8:61:1F:16:E7:B7,E8:61:1F:16:E7:B8,E8:61:1F:16:E7:B9,00:E0:ED:76:10:68,00:E0:ED:76:10:69,E8:61:1F:17:A2:C4,E8:61:1F:17:A2:C5
172.18.214.43,E8:61:1F:16:E7:9A,E8:61:1F:16:E7:9B,E8:61:1F:16:E7:9C,E8:61:1F:16:E7:9D,00:E0:ED:72:19:54,00:E0:ED:72:19:55,E8:61:1F:17:A5:24,E8:61:1F:17:A5:25
172.18.214.44,E8:61:1F:16:E6:4E,E8:61:1F:16:E6:4F,E8:61:1F:16:E6:50,E8:61:1F:16:E6:51,00:E0:ED:76:10:6E,00:E0:ED:76:10:6F,E8:61:1F:16:D0:D4,E8:61:1F:16:D0:D5
172.18.214.45,E8:61:1F:16:E8:76,E8:61:1F:16:E8:77,E8:61:1F:16:E8:78,E8:61:1F:16:E8:79,00:E0:ED:6F:1F:4E,00:E0:ED:6F:1F:4F,E8:61:1F:17:A5:64,E8:61:1F:17:A5:65
172.18.214.46,E8:61:1F:16:E6:96,E8:61:1F:16:E6:97,E8:61:1F:16:E6:98,E8:61:1F:16:E6:99,00:E0:ED:6F:1F:66,00:E0:ED:6F:1F:67,E8:61:1F:16:D0:3A,E8:61:1F:16:D0:3B
172.18.214.47,E8:61:1F:16:E8:66,E8:61:1F:16:E8:67,E8:61:1F:16:E8:68,E8:61:1F:16:E8:69,00:E0:ED:76:10:50,00:E0:ED:76:10:51,E8:61:1F:16:D0:B8,E8:61:1F:16:D0:B9
172.18.214.48,E8:61:1F:16:E8:7A,E8:61:1F:16:E8:7B,E8:61:1F:16:E8:7C,E8:61:1F:16:E8:7D,00:E0:ED:76:10:58,00:E0:ED:76:10:59,E8:61:1F:16:D0:D6,E8:61:1F:16:D0:D7
172.18.214.49,E8:61:1F:16:E6:1E,E8:61:1F:16:E6:1F,E8:61:1F:16:E6:20,E8:61:1F:16:E6:21,00:E0:ED:6F:1F:58,00:E0:ED:6F:1F:59,E8:61:1F:16:D0:BC,E8:61:1F:16:D0:BD
172.18.214.50,E8:61:1F:16:E6:56,E8:61:1F:16:E6:57,E8:61:1F:16:E6:58,E8:61:1F:16:E6:59,00:E0:ED:72:19:52,00:E0:ED:72:19:53,E8:61:1F:16:D1:80,E8:61:1F:16:D1:81
172.18.214.51,E8:61:1F:16:E7:E6,E8:61:1F:16:E7:E7 ,E8:61:1F:16:E7:E8,E8:61:1F:16:E7:E9,00:E0:ED:37:ED:DC,00:E0:ED:37:ED:DD,E8:61:1F:16:D1:90,E8:61:1F:16:D1:91
172.18.214.52,E8:61:1F:16:E8:B6,E8:61:1F:16:E8:B7,E8:61:1F:16:E8:B8,E8:61:1F:16:E8:B9,00:E0:ED:6F:1F:52,00:E0:ED:6F:1F:53,E8:61:1F:17:A5:8A,E8:61:1F:17:A5:8B
172.18.214.53,E8:61:1F:16:E7:D2,E8:61:1F:16:E7:D3,E8:61:1F:16:E7:D4,E8:61:1F:16:E7:D5,00:E0:ED:76:10:6A,00:E0:ED:76:10:6B,E8:61:1F:17:A5:70,E8:61:1F:17:A5:71
172.18.214.54,E8:61:1F:16:E7:D6,E8:61:1F:16:E7:D7,E8:61:1F:16:E7:D8,E8:61:1F:16:E7:D9,00:E0:ED:76:10:66,00:E0:ED:76:10:67,E8:61:1F:16:CF:28,E8:61:1F:16:CF:29
172.18.214.55,E8:61:1F:16:E7:EE,E8:61:1F:16:E7:EF,E8:61:1F:16:E7:F0,E8:61:1F:16:E7:F1,00:E0:ED:37:ED:E0,00:E0:ED:37:ED:E1,E8:61:1F:17:A3:F2,E8:61:1F:17:A3:F3
172.18.214.56,,,,,,,,
172.18.214.57,,,,,,,,
172.18.214.58,E8:61:1F:16:E8:FE,E8:61:1F:16:E8:FF,E8:61:1F:16:E9:00,E8:61:1F:16:E9:01,00:E0:ED:76:10:5E,00:E0:ED:76:10:5F,E8:61:1F:17:A5:7C,E8:61:1F:17:A5:7D
172.18.214.59,E8:61:1F:16:E8:3A,E8:61:1F:16:E8:3B,E8:61:1F:16:E8:3C,E8:61:1F:16:E8:3D,00:E0:ED:76:10:70,00:E0:ED:76:10:71,E8:61:1F:16:D1:46,E8:61:1F:16:D1:47
172.18.214.60,,,,,,,,
172.18.214.61,E8:61:1F:16:E7:DA,E8:61:1F:16:E7:DB,E8:61:1F:16:E7:DC,E8:61:1F:16:E7:DD,00:E0:ED:76:10:56,00:E0:ED:76:10:57,E8:61:1F:16:D1:BE,E8:61:1F:16:D1:BF
172.18.214.62,E8:61:1F:16:E7:B2,E8:61:1F:16:E7:B3,E8:61:1F:16:E7:B4,E8:61:1F:16:E7:B5,00:E0:ED:72:19:56,00:E0:ED:72:19:57,E8:61:1F:17:A5:06,E8:61:1F:17:A5:07
172.18.214.63,E8:61:1F:16:E7:7E,E8:61:1F:16:E7:7F,E8:61:1F:16:E7:80,E8:61:1F:16:E7:81,00:E0:ED:76:10:5A,00:E0:ED:76:10:5B,E8:61:1F:16:D1:86,E8:61:1F:16:D1:87
172.18.214.64,,,,,,          ,,
